locality,city,avg_rent,distance_to_college,metro_distance,safety_score,food_score,hospital_count,mall_count,public_transport_score,pollution_index,internet_speed,student_rating
Mukherjee Nagar,Delhi,9886,13.56,4.77,9,7,12,1,5,125,158,4.2
Dwarka,Delhi,11813,18.35,3.99,2,3,17,3,3,144,149,2.8
Karol Bagh,Delhi,15362,1.55,0.66,8,5,8,6,4,76,23,1.4
Saket,Delhi,16317,7.7,2.53,4,6,7,0,1,191,169,1.2
GTB Nagar,Delhi,7591,18.47,3.12,1,6,9,10,9,128,181,1.5
Saket,Delhi,16707,17.54,3.4,3,2,7,9,6,291,121,2.3
Dwarka,Delhi,9966,17.67,1.73,5,6,5,11,6,257,197,2.7
Janakpuri,Delhi,12765,10.91,2.55,3,1,8,5,8,129,182,2.7
GTB Nagar,Delhi,11381,8.01,1.3,4,8,3,3,6,268,154,1.4
Pitampura,Delhi,13269,15.06,3.43,1,6,17,2,8,181,114,4.7
Saket,Delhi,14583,18.16,3.68,7,8,11,1,3,184,18,3.8
Laxmi Nagar,Delhi,10741,1.26,4.01,4,5,6,11,2,152,155,2.9
GTB Nagar,Delhi,9109,19.71,0.39,6,8,7,13,2,217,64,1.2
Malviya Nagar,Delhi,13383,19.59,4.02,7,8,16,14,8,93,155,3.6
Saket,Delhi,13242,13.35,1.71,7,9,19,3,7,166,66,1.4
Vasant Kunj,Delhi,16154,1.03,4.81,2,9,4,14,4,282,18,2.7
Mukherjee Nagar,Delhi,10291,14.17,3.72,7,9,3,2,6,208,100,1.3
Mayur Vihar,Delhi,10185,16.01,0.97,6,9,17,2,1,53,181,1.8
Vasant Kunj,Delhi,17569,4.8,1.04,7,3,3,2,4,265,154,4.1
Pitampura,Delhi,11203,13.22,2.52,3,5,13,5,2,202,74,2.3
Mayur Vihar,Delhi,10138,2.45,0.68,1,7,15,4,4,296,33,1.7
Okhla,Delhi,9860,16.29,0.78,9,4,3,13,4,285,186,2.2
Mayur Vihar,Delhi,11010,15.21,1.16,6,5,2,6,6,62,177,4.6
Tilak Nagar,Delhi,8703,12.28,4.07,1,5,6,9,5,246,34,3.4
GTB Nagar,Delhi,10806,3.88,1.82,8,5,3,4,6,70,16,3.7
Pitampura,Delhi,12254,19.12,4.1,5,6,19,10,1,185,163,1.1
Kamla Nagar,Delhi,10428,7.09,2.28,6,8,16,11,6,79,151,3.3
Ashok Vihar,Delhi,11817,18.6,2.82,6,9,18,14,6,182,37,3.2
Janakpuri,Delhi,12282,13.06,1.45,4,6,5,0,5,256,102,1.1
Rohini,Delhi,9934,2.88,2.04,1,8,16,13,6,272,182,1.2
Saket,Delhi,15880,3.55,4.07,7,5,18,4,5,98,149,3.6
GTB Nagar,Delhi,9173,6.47,4.49,8,1,15,3,3,125,117,2.9
Karol Bagh,Delhi,12727,5.98,4.23,5,4,7,13,9,296,90,1.9
Vasant Kunj,Delhi,15860,9.37,4.95,3,1,16,4,6,280,175,2.7
Dwarka,Delhi,9503,15.23,0.59,5,4,15,7,7,276,197,1.1
Kamla Nagar,Delhi,10173,14.75,0.81,4,8,12,13,3,99,95,1.6
Okhla,Delhi,6922,18.87,1.37,1,3,9,4,1,294,167,4.2
Kamla Nagar,Delhi,8595,18.67,0.64,5,8,14,5,4,61,37,2.7
Malviya Nagar,Delhi,13029,5.36,1.62,2,1,6,5,6,286,31,1.3
Karol Bagh,Delhi,13710,13.36,2.8,5,7,1,11,2,272,18,4.0
Rohini,Delhi,9643,10.35,0.61,7,2,13,12,1,151,15,3.1
Dwarka,Delhi,11071,1.54,3.79,2,7,8,14,8,267,150,3.7
Janakpuri,Delhi,12045,4.16,3.34,3,8,5,14,3,232,72,1.8
Mukherjee Nagar,Delhi,8855,11.6,3.05,8,1,2,0,1,176,150,5.0
Ashok Vihar,Delhi,11405,14.31,3.62,9,3,16,14,3,78,141,3.9
Rajouri Garden,Delhi,11862,15.08,2.36,1,4,2,5,6,103,56,2.4
Laxmi Nagar,Delhi,7259,19.78,4.62,1,4,11,14,5,278,176,1.2
Laxmi Nagar,Delhi,9987,11.41,3.04,5,3,11,14,8,277,61,2.1
Tilak Nagar,Delhi,10485,14.55,2.31,7,6,14,8,6,80,91,1.3
Rajouri Garden,Delhi,11086,16.71,0.59,8,9,9,6,9,164,181,1.0
Dwarka,Delhi,10674,2.48,3.35,3,9,15,10,8,129,79,3.9
Karol Bagh,Delhi,13389,9.72,3.13,5,1,3,1,3,256,119,1.4
Rajouri Garden,Delhi,14937,13.9,4.49,2,8,16,13,1,112,86,3.0
Pitampura,Delhi,12413,5.76,3.79,8,7,4,6,4,205,182,3.6
Okhla,Delhi,6000,13.76,4.4,3,8,16,5,7,93,59,1.2
Malviya Nagar,Delhi,15331,7.07,3.03,9,6,14,9,3,119,29,4.5
Mukherjee Nagar,Delhi,6994,3.8,2.39,2,6,5,1,1,73,19,3.5
Rohini,Delhi,8274,19.14,4.3,9,3,6,8,9,143,11,4.8
Kamla Nagar,Delhi,8998,19.7,1.85,7,3,7,11,5,181,18,4.4
Janakpuri,Delhi,12848,8.02,4.72,9,2,2,2,9,206,185,5.0
Ashok Vihar,Delhi,10386,2.46,1.67,5,5,2,9,1,167,192,3.6
Ashok Vihar,Delhi,11222,3.81,3.5,9,1,12,2,1,62,15,4.8
Saket,Delhi,16654,18.95,3.64,6,7,16,9,4,221,31,3.2
Laxmi Nagar,Delhi,8851,6.04,2.6,2,7,10,8,7,104,186,2.9
Kamla Nagar,Delhi,10759,7.67,2.62,7,4,7,7,8,82,112,5.0
Karol Bagh,Delhi,15096,2.86,1.12,5,9,15,14,6,143,138,4.4
Pitampura,Delhi,12780,7.54,4.22,6,5,10,14,8,132,52,2.1
Laxmi Nagar,Delhi,8910,1.33,0.15,3,6,16,13,7,138,65,2.2
Okhla,Delhi,9399,0.73,2.26,7,7,19,3,3,277,76,1.3
Ashok Vihar,Delhi,10625,2.33,3.88,8,7,13,14,7,63,73,1.1
Pitampura,Delhi,12126,5.02,2.07,2,8,8,13,1,93,22,1.6
Saket,Delhi,15896,10.13,1.9,5,4,13,2,8,224,90,3.1
Kamla Nagar,Delhi,10142,4.11,1.35,9,6,10,8,7,76,162,3.0
Mukherjee Nagar,Delhi,8513,5.86,4.56,8,1,7,13,2,197,14,2.0
Saket,Delhi,13235,17.18,4.44,4,7,15,11,7,90,117,2.1
Laxmi Nagar,Delhi,10629,2.8,1.9,9,6,8,10,9,243,115,4.3
Rajouri Garden,Delhi,11992,1.64,4.69,8,5,15,5,2,70,31,1.9
Tilak Nagar,Delhi,8498,6.08,0.88,2,5,1,13,1,126,58,4.7
Rajouri Garden,Delhi,12378,11.3,4.43,4,1,5,10,1,247,124,2.4
Mayur Vihar,Delhi,8474,17.47,2.51,4,3,2,0,2,175,39,1.7
Kamla Nagar,Delhi,12034,1.57,2.49,5,9,19,10,4,88,138,3.3
Vasant Kunj,Delhi,16708,4.65,4.96,9,1,6,2,8,233,175,2.4
Karol Bagh,Delhi,15717,16.25,4.75,2,6,18,6,3,286,108,2.0
Pitampura,Delhi,12089,6.06,2.65,4,7,6,13,3,215,135,2.0
Okhla,Delhi,7805,18.54,3.3,9,1,11,6,6,113,181,1.1
Mayur Vihar,Delhi,8813,4.84,3.72,3,3,19,6,1,190,42,2.7
Dwarka,Delhi,8921,17.84,3.86,4,6,9,9,3,111,161,2.4
Rohini,Delhi,9174,17.47,4.83,9,9,6,11,7,203,186,1.0
Rohini,Delhi,7332,19.65,0.81,7,7,14,4,6,52,155,3.9
Karol Bagh,Delhi,15321,11.19,0.68,9,4,16,12,1,275,147,2.4
Karol Bagh,Delhi,12051,13.0,1.85,8,4,6,14,2,270,125,4.3
Tilak Nagar,Delhi,10656,19.56,3.56,1,9,7,8,2,236,10,4.2
Mayur Vihar,Delhi,10437,2.14,3.93,2,9,10,5,8,183,124,4.8
Ashok Vihar,Delhi,9118,15.75,1.69,9,2,10,10,6,223,134,3.4
Ashok Vihar,Delhi,9249,5.16,1.9,5,8,4,0,1,85,145,3.1
Laxmi Nagar,Delhi,10569,10.27,1.94,7,4,8,12,7,292,154,3.5
Karol Bagh,Delhi,15048,15.08,0.53,7,7,16,14,9,123,45,1.1
Tilak Nagar,Delhi,8146,9.35,2.09,2,6,10,12,1,157,177,2.3
Kamla Nagar,Delhi,10889,15.0,0.4,9,6,15,2,7,262,25,3.1
Janakpuri,Delhi,9221,6.21,1.67,2,4,8,10,4,291,164,4.5
Rajouri Garden,Delhi,12580,4.26,2.97,9,8,11,13,9,269,145,1.0
Kamla Nagar,Delhi,8503,18.82,2.92,7,3,10,1,4,225,73,1.5
Laxmi Nagar,Delhi,10573,12.94,1.66,7,1,18,13,3,276,126,1.5
Rajouri Garden,Delhi,14813,10.62,2.47,1,5,10,4,7,179,174,2.7
Malviya Nagar,Delhi,12290,2.12,0.9,2,6,13,0,9,207,136,3.8
Rajouri Garden,Delhi,11203,10.47,1.91,9,4,10,2,6,209,194,1.1
GTB Nagar,Delhi,9431,8.88,3.5,9,9,8,7,1,205,49,1.3
Laxmi Nagar,Delhi,10534,12.47,0.94,7,3,9,11,9,101,77,3.1
Tilak Nagar,Delhi,8453,2.68,4.79,1,4,13,7,7,126,13,2.2
Dwarka,Delhi,10250,18.64,0.37,3,7,4,8,9,255,46,2.5
Saket,Delhi,14115,6.7,0.36,1,1,1,7,4,253,177,2.8
Rajouri Garden,Delhi,11715,2.32,0.24,7,8,5,9,2,213,42,2.4
Malviya Nagar,Delhi,15618,18.72,2.11,4,5,3,7,5,155,100,2.1
Rohini,Delhi,7968,4.56,0.19,9,2,3,2,8,129,90,1.8
Okhla,Delhi,6246,0.53,2.3,6,3,5,13,1,72,41,4.6
Malviya Nagar,Delhi,14332,15.98,3.63,3,5,5,11,9,71,184,3.5
Kamla Nagar,Delhi,11281,16.7,1.73,8,2,15,0,5,141,12,2.8
Janakpuri,Delhi,11399,7.09,4.58,8,2,12,3,2,202,197,3.8
Tilak Nagar,Delhi,10622,5.85,3.53,1,4,14,12,3,106,17,5.0
Rajouri Garden,Delhi,13663,11.24,1.33,5,3,2,14,7,158,75,4.7
Tilak Nagar,Delhi,9601,16.95,1.27,4,4,19,3,2,119,196,4.5
Malviya Nagar,Delhi,12419,13.2,3.93,9,6,15,14,1,143,27,4.3
Dwarka,Delhi,11595,1.25,3.29,5,9,18,9,5,121,143,3.4
Mukherjee Nagar,Delhi,9781,13.3,2.77,9,2,15,1,6,244,160,3.6
Ashok Vihar,Delhi,10122,1.1,0.78,3,8,17,0,2,266,51,2.4
Ashok Vihar,Delhi,12505,7.12,0.36,7,2,19,7,7,267,115,1.8
Pitampura,Delhi,11264,6.88,1.05,7,8,3,6,9,100,184,4.6
Malviya Nagar,Delhi,13646,6.81,2.56,5,1,7,13,1,216,67,4.8
Malviya Nagar,Delhi,15556,0.71,4.13,8,9,19,6,5,146,169,2.2
Okhla,Delhi,6078,10.5,3.76,5,4,10,11,6,102,114,4.4
Mayur Vihar,Delhi,8295,18.19,0.21,1,9,8,5,6,234,17,4.9
Kamla Nagar,Delhi,11440,15.18,2.31,3,9,1,5,1,123,20,2.9
Rohini,Delhi,9610,0.74,4.93,1,8,9,6,1,131,111,1.2
Rohini,Delhi,9153,4.6,1.86,5,1,16,4,9,84,123,2.9
Malviya Nagar,Delhi,14862,14.83,1.83,8,6,2,4,1,98,167,1.6
Rajouri Garden,Delhi,12986,10.24,2.74,2,3,1,14,5,137,159,1.2
Tilak Nagar,Delhi,9746,19.94,1.23,1,5,7,0,9,52,41,2.8
Rajouri Garden,Delhi,14401,6.7,4.75,3,8,17,13,6,50,47,2.9
Rohini,Delhi,9779,8.27,0.56,5,5,4,10,1,192,191,1.6
Ashok Vihar,Delhi,12425,16.69,4.12,3,3,3,4,4,296,23,4.7
Okhla,Delhi,6293,7.54,0.11,4,2,4,3,6,277,143,3.8
GTB Nagar,Delhi,9600,11.85,3.95,7,6,7,12,4,194,79,3.5
Mayur Vihar,Delhi,10450,7.64,1.5,5,1,10,3,6,170,151,2.1
Vasant Kunj,Delhi,14149,11.83,4.5,9,7,15,13,4,274,116,1.1
Mukherjee Nagar,Delhi,6910,5.21,2.62,7,5,8,11,1,154,130,4.9
Ashok Vihar,Delhi,9791,18.08,0.48,1,2,14,13,1,267,124,1.2
Dwarka,Delhi,9667,5.87,2.91,2,7,16,0,3,126,38,2.0
Janakpuri,Delhi,9231,17.73,3.97,6,3,10,1,7,144,83,2.4
Rohini,Delhi,7782,11.86,2.66,9,9,13,5,9,99,177,1.9
Vasant Kunj,Delhi,14787,16.35,3.85,1,8,8,1,6,179,79,3.1
Pitampura,Delhi,13654,15.73,3.9,5,2,16,14,3,274,162,2.7
Mayur Vihar,Delhi,10802,16.12,0.14,1,9,13,2,8,111,63,1.6
Okhla,Delhi,7146,13.39,3.06,8,3,14,1,7,249,115,2.6
Vasant Kunj,Delhi,17207,16.4,0.22,3,1,5,0,4,81,186,4.5
Malviya Nagar,Delhi,15022,2.5,2.68,2,7,3,9,7,281,114,3.9
Janakpuri,Delhi,11918,15.63,4.84,4,8,13,11,9,149,188,4.8
Pitampura,Delhi,12986,15.87,0.59,5,1,6,12,5,121,170,4.8
Ashok Vihar,Delhi,9954,2.07,1.3,4,5,11,6,6,101,110,4.2
Laxmi Nagar,Delhi,7876,0.79,0.23,1,1,16,6,9,61,11,1.9
Pitampura,Delhi,10230,11.79,1.73,4,8,9,6,7,192,179,4.0
Vasant Kunj,Delhi,17156,18.43,2.97,9,5,11,1,5,173,117,2.4
Dwarka,Delhi,9612,7.28,3.68,1,9,16,0,3,268,94,3.6
Kamla Nagar,Delhi,10165,3.74,2.93,1,3,2,10,7,234,17,2.8
Rajouri Garden,Delhi,13943,3.7,2.38,1,2,10,5,7,65,101,2.4
Janakpuri,Delhi,12568,19.33,4.09,2,7,3,10,6,266,160,1.7
Okhla,Delhi,8001,7.77,0.9,7,1,15,10,6,137,30,1.5
Janakpuri,Delhi,12811,16.97,1.14,5,8,2,8,1,237,180,2.3
Rohini,Delhi,8001,13.99,1.95,3,1,3,6,5,295,119,2.1
Okhla,Delhi,7384,0.68,1.02,2,3,7,12,8,104,55,4.8
Vasant Kunj,Delhi,15746,19.18,2.89,1,3,6,5,1,261,115,2.8
Rohini,Delhi,6745,0.87,4.62,2,1,17,14,4,122,10,4.2
Mayur Vihar,Delhi,11548,1.94,3.0,8,8,8,1,3,166,181,4.7
Kamla Nagar,Delhi,10492,11.4,1.81,6,1,16,6,3,127,155,3.2
Dwarka,Delhi,10040,8.58,2.14,7,1,6,11,8,284,127,1.2
Mukherjee Nagar,Delhi,8310,4.51,1.8,4,8,17,13,4,157,86,3.8
Tilak Nagar,Delhi,11125,12.58,2.03,2,8,18,13,2,280,141,3.6
Pitampura,Delhi,11483,3.41,4.1,3,3,9,5,5,118,128,1.9
Janakpuri,Delhi,12958,9.74,3.43,9,1,18,11,6,54,122,2.4
Dwarka,Delhi,8011,11.45,4.72,5,4,7,0,7,253,112,2.4
Tilak Nagar,Delhi,10825,1.8,2.29,7,1,16,0,9,118,141,4.7
Janakpuri,Delhi,10877,3.23,1.57,8,6,15,3,4,219,114,1.5
Rajouri Garden,Delhi,11108,5.75,4.81,9,9,16,0,2,112,14,2.9
Pitampura,Delhi,13363,2.55,4.37,4,4,19,8,2,98,45,1.5
Rohini,Delhi,9130,5.25,4.41,3,8,13,2,3,50,103,1.7
Vasant Kunj,Delhi,16066,10.98,1.34,2,1,13,5,2,268,180,3.3
Ashok Vihar,Delhi,10723,12.2,3.6,5,4,2,12,7,151,112,1.0
Janakpuri,Delhi,12242,9.03,1.37,5,4,18,5,6,284,134,3.5
Rajouri Garden,Delhi,12716,14.36,0.91,8,8,19,2,8,81,36,3.8
Mayur Vihar,Delhi,11412,15.33,2.14,1,8,11,14,3,195,63,1.2
Vasant Kunj,Delhi,15390,3.63,1.97,2,4,9,6,1,279,19,4.4
Laxmi Nagar,Delhi,10446,3.06,4.59,5,5,11,6,1,269,121,1.7
Laxmi Nagar,Delhi,8114,17.51,2.76,4,2,4,10,5,224,121,3.8
Dwarka,Delhi,8693,7.27,3.74,2,3,3,2,4,221,47,4.7
Malviya Nagar,Delhi,13773,7.46,0.33,2,2,15,3,7,271,88,1.3
Janakpuri,Delhi,11529,19.78,3.12,2,8,11,10,4,103,176,4.5
Tilak Nagar,Delhi,8319,12.17,4.66,5,5,1,10,7,89,132,1.9
Okhla,Delhi,6276,10.13,4.95,1,3,3,12,1,228,89,4.8
Dwarka,Delhi,10702,16.01,3.34,8,1,4,6,4,139,132,4.0
Saket,Delhi,14724,14.87,4.48,5,4,9,4,9,201,68,2.8
Mukherjee Nagar,Delhi,6773,8.46,2.11,8,3,13,4,6,75,93,3.8
Tilak Nagar,Delhi,7702,2.67,3.64,8,3,17,0,9,114,34,3.5
Tilak Nagar,Delhi,9626,16.13,1.05,7,6,9,10,5,85,21,1.1
Karol Bagh,Delhi,14883,16.22,0.7,8,2,19,5,4,252,98,3.5
Malviya Nagar,Delhi,15173,6.15,1.52,6,5,1,5,4,232,158,4.6
Laxmi Nagar,Delhi,9828,6.98,4.84,7,7,10,13,6,235,153,2.0
Mayur Vihar,Delhi,10338,3.09,1.34,2,9,15,11,3,52,19,3.9
Ashok Vihar,Delhi,9196,9.1,0.42,6,2,6,14,9,146,156,3.1
Vasant Kunj,Delhi,15735,6.13,1.45,5,2,14,11,3,72,89,4.0
Okhla,Delhi,6347,17.37,3.92,3,1,9,13,5,162,172,2.4
Laxmi Nagar,Delhi,7390,19.08,4.94,6,2,3,10,7,170,100,4.1
Mayur Vihar,Delhi,9627,0.62,1.81,6,7,19,4,2,293,63,1.8
Ashok Vihar,Delhi,9499,17.92,0.19,1,3,18,2,9,170,141,1.8
Janakpuri,Delhi,9004,6.44,2.3,7,9,13,11,5,287,168,4.1
Ashok Vihar,Delhi,10674,15.99,2.97,2,7,19,4,7,289,27,3.1
Rajouri Garden,Delhi,12976,19.73,4.94,8,8,10,5,8,202,55,4.1
Kamla Nagar,Delhi,9107,5.62,3.3,7,5,12,3,8,74,186,1.6
Pitampura,Delhi,12903,1.94,2.06,3,6,3,14,9,141,17,2.9
Ashok Vihar,Delhi,9945,10.69,2.69,6,9,18,1,2,267,33,4.8
Ashok Vihar,Delhi,12176,3.3,2.17,4,2,15,4,1,236,78,3.6
Mukherjee Nagar,Delhi,9010,13.14,2.86,6,7,3,8,1,151,147,4.6
Ashok Vihar,Delhi,11471,19.27,0.12,2,1,5,1,1,247,152,1.7
Karol Bagh,Delhi,14746,1.33,2.52,4,4,11,11,5,240,183,2.1
Janakpuri,Delhi,9964,5.51,3.69,5,4,4,14,6,57,112,1.1
Tilak Nagar,Delhi,8478,10.05,3.98,2,5,11,1,9,206,159,1.5
Ashok Vihar,Delhi,12852,9.36,1.46,8,6,16,9,7,198,171,1.4
Rohini,Delhi,6736,7.5,4.03,2,7,16,6,8,150,158,2.5
Tilak Nagar,Delhi,7698,5.24,3.18,8,7,1,5,2,105,91,1.1
Pitampura,Delhi,10351,19.26,3.3,1,8,3,14,5,288,112,4.5
GTB Nagar,Delhi,11395,17.96,0.91,5,9,11,0,5,124,168,4.4
Saket,Delhi,16043,6.34,1.0,6,3,1,8,2,251,106,3.5
Pitampura,Delhi,11655,15.06,3.1,4,5,9,7,8,203,175,1.0
Janakpuri,Delhi,10814,6.85,1.92,8,1,17,8,1,237,177,2.7
Mukherjee Nagar,Delhi,9347,18.53,4.28,8,1,12,8,1,147,139,3.7
Okhla,Delhi,9841,15.39,3.74,3,9,18,1,5,120,131,2.7
Ashok Vihar,Delhi,9047,1.12,0.35,4,8,3,7,3,181,14,4.8
Kamla Nagar,Delhi,12350,11.74,5.0,2,4,6,13,4,267,113,3.2
Mukherjee Nagar,Delhi,7212,12.32,3.56,2,1,18,12,8,57,88,3.0
Mayur Vihar,Delhi,8642,3.21,0.35,5,6,1,11,6,271,104,5.0
Tilak Nagar,Delhi,9167,4.36,3.97,6,9,14,7,4,292,105,1.2
Rajouri Garden,Delhi,12283,18.15,4.8,7,8,17,2,8,231,106,1.9
Okhla,Delhi,7983,5.98,3.15,2,6,13,5,9,59,54,2.9
Kamla Nagar,Delhi,11562,1.44,2.17,7,8,6,4,8,173,33,2.5
Rohini,Delhi,9714,17.82,3.84,9,8,7,6,7,271,26,4.6
Rajouri Garden,Delhi,13768,17.58,4.82,2,9,13,12,5,264,51,3.6
Pitampura,Delhi,13036,13.69,1.73,6,4,11,7,3,259,182,4.2
Malviya Nagar,Delhi,13717,17.11,1.41,7,6,8,7,8,272,40,3.0
Tilak Nagar,Delhi,10781,16.8,3.74,1,4,4,7,4,78,59,3.1
Mukherjee Nagar,Delhi,8356,15.07,0.11,9,9,11,2,3,269,138,3.7
Kamla Nagar,Delhi,8551,8.26,2.69,8,6,14,6,6,210,30,4.0
Kamla Nagar,Delhi,10131,8.38,4.68,5,1,7,10,7,75,25,4.5
Kamla Nagar,Delhi,9042,11.87,2.91,3,8,1,6,3,191,19,4.3
Malviya Nagar,Delhi,13045,11.27,0.38,2,7,1,6,6,148,172,4.3
Mayur Vihar,Delhi,9886,14.02,4.05,5,3,17,8,3,266,41,1.3
Okhla,Delhi,9062,1.76,1.91,5,7,17,3,3,193,24,2.7
Pitampura,Delhi,13863,10.74,3.08,1,4,15,11,7,271,128,4.3
Okhla,Delhi,8448,17.14,1.81,5,9,14,9,2,297,195,3.5
Pitampura,Delhi,10529,18.8,2.02,3,9,14,13,9,111,72,2.2
Vasant Kunj,Delhi,14406,0.55,2.72,1,4,7,2,6,105,133,2.9
Laxmi Nagar,Delhi,7882,9.84,0.74,8,4,18,6,8,84,83,4.9
Mukherjee Nagar,Delhi,7221,2.93,0.17,3,1,8,11,4,66,62,1.4
Mayur Vihar,Delhi,10598,11.9,0.21,1,7,12,11,7,72,158,3.6
Pitampura,Delhi,13953,13.29,2.55,2,3,4,4,3,202,183,2.3
Vasant Kunj,Delhi,14860,19.07,1.3,5,2,6,0,5,65,55,5.0
Dwarka,Delhi,10519,9.21,3.13,4,1,5,1,6,179,178,4.4
Rajouri Garden,Delhi,11868,17.69,1.35,6,4,1,4,7,233,198,4.2
Malviya Nagar,Delhi,14276,1.43,3.2,2,1,14,4,6,216,125,4.6
Saket,Delhi,15975,14.52,4.1,4,3,10,12,4,141,10,4.8
Rohini,Delhi,8713,17.74,1.7,8,5,13,14,8,206,134,3.3
Dwarka,Delhi,10198,1.7,0.1,7,5,11,3,9,214,61,3.7
Ashok Vihar,Delhi,12838,13.7,1.03,6,4,19,9,1,85,99,2.0
Laxmi Nagar,Delhi,7230,14.98,4.33,8,7,17,1,1,156,191,1.6
Rajouri Garden,Delhi,14883,9.57,3.67,5,7,15,14,6,239,193,1.2
Okhla,Delhi,7624,1.45,3.3,6,7,4,11,8,278,138,2.5
Rajouri Garden,Delhi,14785,10.77,3.68,4,6,13,13,3,101,137,3.1
Okhla,Delhi,9978,14.5,3.58,6,1,17,5,8,77,83,4.8
Pitampura,Delhi,11251,8.96,2.69,6,8,5,9,4,190,192,3.2
Malviya Nagar,Delhi,15010,11.1,1.9,9,7,16,12,3,149,42,3.7
Pitampura,Delhi,11315,0.74,1.59,2,6,9,10,1,96,118,4.6
Rajouri Garden,Delhi,13943,6.11,4.93,9,2,8,5,6,182,11,1.8
Malviya Nagar,Delhi,13734,14.08,0.36,4,4,10,5,5,110,52,3.6
Rajouri Garden,Delhi,13365,6.59,2.81,2,9,14,9,1,272,88,4.6
Laxmi Nagar,Delhi,10184,6.43,0.89,9,4,13,0,5,72,92,4.2
Mayur Vihar,Delhi,9415,18.37,2.63,1,9,9,4,8,223,54,4.9
Okhla,Delhi,6043,15.04,3.42,3,6,8,13,6,286,153,2.5
Karol Bagh,Delhi,15889,8.71,1.75,3,9,2,14,9,106,24,4.8
Laxmi Nagar,Delhi,9510,0.92,0.77,4,5,6,1,5,237,105,4.1
Malviya Nagar,Delhi,12837,16.0,0.64,8,1,15,7,4,121,199,3.8
Janakpuri,Delhi,11488,18.19,1.88,6,2,5,13,4,136,189,3.5
Mukherjee Nagar,Delhi,7737,12.86,4.34,7,2,2,2,1,289,132,4.3
Malviya Nagar,Delhi,13938,1.59,0.65,4,1,18,1,4,238,130,1.1
Vasant Kunj,Delhi,15271,18.63,0.31,6,2,5,6,9,196,75,4.4
Rajouri Garden,Delhi,11622,14.53,2.13,5,8,9,1,8,145,76,2.2
Vasant Kunj,Delhi,14709,4.89,0.56,6,7,1,6,8,211,158,4.2
Rohini,Delhi,6936,14.3,1.65,5,4,11,9,3,184,198,2.8
Pitampura,Delhi,10559,11.77,4.3,7,2,14,0,8,200,59,4.5
Pitampura,Delhi,11070,1.36,0.37,4,8,16,11,1,173,106,2.9
GTB Nagar,Delhi,8792,3.31,3.25,2,9,11,6,6,200,109,4.4
Kamla Nagar,Delhi,10705,2.53,3.79,1,7,11,14,9,241,199,4.9
Pitampura,Delhi,11399,4.55,1.85,6,8,3,7,8,261,65,1.6
Karol Bagh,Delhi,12050,16.16,1.97,6,5,17,13,9,61,184,1.2
Pitampura,Delhi,13537,18.82,4.12,3,9,11,13,9,146,133,3.2
Pitampura,Delhi,11831,12.57,3.67,8,7,16,3,2,225,97,2.1
Laxmi Nagar,Delhi,10070,11.87,4.06,6,6,7,12,9,178,151,2.7
Tilak Nagar,Delhi,7558,3.82,2.1,5,9,5,11,9,227,49,3.6
Rajouri Garden,Delhi,12412,6.42,2.33,3,8,11,2,6,233,181,3.1
Malviya Nagar,Delhi,13704,15.92,2.25,8,4,7,2,5,106,116,2.4
Kamla Nagar,Delhi,9353,16.45,2.82,4,8,12,10,9,210,82,4.6
Pitampura,Delhi,13114,2.08,4.39,4,3,10,3,4,78,189,1.7
Okhla,Delhi,7592,14.79,0.88,3,5,10,7,9,105,105,3.2
Tilak Nagar,Delhi,8322,6.16,4.2,1,6,15,5,9,160,126,3.7
Tilak Nagar,Delhi,8578,9.46,1.65,8,6,2,7,6,161,113,1.0
Saket,Delhi,16484,13.28,0.56,2,6,8,4,9,90,177,4.9
Mayur Vihar,Delhi,8000,11.76,3.32,3,4,18,0,1,115,197,1.6
Dwarka,Delhi,8261,10.46,1.83,5,5,5,0,1,202,55,3.5
Vasant Kunj,Delhi,16536,17.13,2.72,1,3,1,1,3,243,81,1.6
Mayur Vihar,Delhi,8422,15.45,1.04,8,1,10,9,7,136,122,2.6
Tilak Nagar,Delhi,8179,7.34,1.12,3,3,16,7,4,85,96,3.8
Mukherjee Nagar,Delhi,8987,10.84,2.64,7,8,17,4,3,60,174,3.5
Pitampura,Delhi,10068,11.98,2.17,1,8,5,13,8,207,139,2.2
Ashok Vihar,Delhi,10524,10.87,2.7,2,1,6,13,4,73,78,3.8
GTB Nagar,Delhi,9601,8.59,1.32,7,3,10,6,6,129,135,4.4
Malviya Nagar,Delhi,13102,19.11,1.08,1,4,16,2,9,142,110,2.1
Saket,Delhi,13497,1.16,3.12,6,8,2,11,6,294,66,4.6
Laxmi Nagar,Delhi,7972,9.42,1.5,2,8,19,9,4,62,112,3.9
GTB Nagar,Delhi,8136,5.42,2.52,5,4,8,12,8,296,15,1.2
Laxmi Nagar,Delhi,7720,7.15,2.0,6,1,4,13,6,225,10,3.0
Pitampura,Delhi,11851,13.25,2.82,4,9,6,11,4,288,83,4.2
Rohini,Delhi,6896,9.16,1.97,3,6,15,12,4,87,138,2.2
Rajouri Garden,Delhi,13586,13.92,4.97,4,9,6,5,4,165,121,4.1
Saket,Delhi,13384,10.1,4.02,6,2,15,10,3,103,37,1.2
Pitampura,Delhi,10301,12.4,2.74,8,7,5,2,2,190,36,2.7
Okhla,Delhi,6681,14.9,4.81,8,7,14,1,3,51,171,4.6
